Object Number,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Reign,Portfolio,Constiuent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Nationality,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Credit Line,Geography Type,City,State,County,Country,Classification
89.4.2418,TRUE,503956,680,Musical Instruments,1889,Cor omnitonique,Cor omnitonique,Belgian,,,155482,Maker,Attributed to,Charles Joseph Sax,"Belgian, Dinant, Belgium 1790–1865 Paris",,Belgian,1790-02-01,1865-04-26,1833,1833,Brass,"The Crosby Brown Collection of Musical Instruments, 1889",,Brussels,,,Belgium,Aerophone-Lip Vibrated
89.4.2412,TRUE,503957,,Musical Instruments,1889,Alto or Tenor Cornopean,Alto or Tenor Cornopean,Belgian,,,155681,Maker,,Melchior Gomar de Vries,"Belgian, active Lierre 1838 until late 19th century",,Belgian,,,1837,1850,"Brass, nickel-silver","The Crosby Brown Collection of Musical Instruments, 1889",,Lierre,,,Belgium,Aerophone-Lip Vibrated
89.4.2409,TRUE,503958,,Musical Instruments,1889,Tenor Slide Trombone in B-flat,Tenor Slide Trombone in B-flat,Belgian,,,156229,Maker,,Jeremias Franciscus Verhoeven,Belgium,,Belgium,,,1820,1840,Brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Aerophone-Lip Vibrated-trumpet / trombone
89.4.2123,FALSE,504188,,Musical Instruments,1889,Mass Bell,Mass Bell,Belgium,,,,,,,,,,,,1800,1899,metal,"The Crosby Brown Collection of Musical Instruments, 1889",,,,Flanders,Belgium,Idiophone-Struck-bell-clapper
1974.230.1,FALSE,504264,,Musical Instruments,1974,French Horn,French Horn,Belgium,,,155845,Maker,,F. van Cauwelaert,Belgian,,Belgian,,,1840,1860,Brass,"Gift of Mrs. Alfred Marrow, 1974",,Brussels,,,Belgium,Aerophone-Lip Vibrated
1976.7.2,FALSE,504278,,Musical Instruments,1976,Transverse Flute in D,Transverse Flute in D,Belgium,,,154956,Artist,,Adolphe (Antoine Joseph) Sax,"Belgian, Dinant, Belgium 1814–1894 Paris",,,1814-11-06,1894-02-07,1820,1830,"Wood, silver-plate, mother-of-pearl","Funds from various donors, 1976",,,,,Belgium,Aerophone-Blow Hole-side-blown flute (transverse)
89.4.2411,TRUE,504775,,Musical Instruments,1889,Tenor (Alto) Ophicleide in E-flat,Tenor (Alto) Ophicleide in E-flat,Belgian,,,155482,Maker,Possibly by,Charles Joseph Sax,"Belgian, Dinant, Belgium 1790–1865 Paris",,Belgian,1790-02-01,1865-04-26,1825,1865,Brass,"The Crosby Brown Collection of Musical Instruments, 1889",,Brussels,,,Belgium,Aerophone-Lip Vibrated-horn
89.4.2415,FALSE,504779,,Musical Instruments,1889,Horn in B-flat,Horn in B-flat,Belgian,,,156018,Maker,,Charles Mahillon,"Belgian, Brussels 1813–1887 Brussels",,Belgian,1813,1887,1845,1865,Brass,"The Crosby Brown Collection of Musical Instruments, 1889",,Brussels,,,Belgium,Aerophone-Lip Vibrated-horn
89.4.2419,TRUE,504788,,Musical Instruments,1889,Orchestral Horn,Orchestral Horn,Belgian,,,156177,Maker,,H. Delcourt,"Belgian, Ath active ca. 1858",,Belgian,1850,1870,1853,1863,"Brass
","The Crosby Brown Collection of Musical Instruments, 1889",,Ath,,,Belgium,Aerophone-Lip Vibrated-horn
89.4.2420,FALSE,504789,,Musical Instruments,1889,Fanfare Trumpet,Fanfare Trumpet,Belgian,,,155482,Maker,,Charles Joseph Sax,"Belgian, Dinant, Belgium 1790–1865 Paris",,Belgian,1790-02-01,1865-04-26,1865,1865,Lacquered copper,"The Crosby Brown Collection of Musical Instruments, 1889",,Brussels,,,Belgium,Aerophone-Lip Vibrated-trumpet / trombone
89.4.2465,TRUE,504828,,Musical Instruments,1889,Alto Clarinet in E-flat,Alto Clarinet in E-flat,Belgian,,,156018,Maker,,Charles Mahillon,"Belgian, Brussels 1813–1887 Brussels",,Belgian,1813,1887,1880,1910,"Cocuswood, brass","The Crosby Brown Collection of Musical Instruments, 1889",,Brussels,,,Belgium,Aerophone-Reed Vibrated-single reed cylindrical
89.4.2282,FALSE,504881,,Musical Instruments,1889,Metal tube,Metal tube,Belgian,,,155975,Maker,Possibly by,Victor-Charles Mahillon,"Belgian, Brussels 1841–1924 Brussels",,Belgian,1841,1924,1875,1899,metal,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Aerophone-Accessories
11.176.1,TRUE,505004,,Musical Instruments,1911,Muselar Virginal,Muselar Virginal,Flemish,,,155560,Maker,,Joannes (Jan) Ruckers,"Flemish, Antwerp 1578–1642 Antwerp",,Flemish,1578,1642,1622,1622,"Wood, paint, bone, metal, beech, leather","Gift of Bernardus Boekelman, 1911",,,,,Belgium,Chordophone-Zither-plucked
89.4.2591,TRUE,505058,,Musical Instruments,1889,Bass Ophicleide in C,Bass Ophicleide in C,Belgian,,,,,,,,,,,,1825,1825,"Brass, ivory","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Aerophone-Lip Vibrated-horn
2011.529.4,FALSE,506200,,Musical Instruments,2011,Bell,Bell,Belgian,,,156549,Manufacturer,,Val Saint Lambert,,,,,,1978,1982,glass,"Gift of A. A. Trinidad Jr., 2011",,Seraing,,,Belgium,Idiophone-Struck-bell
2011.529.5,FALSE,506214,,Musical Instruments,2011,Bell,Bell,Belgian,,,156549,Manufacturer,,Val Saint Lambert,,,,,,1978,1982,glass,"Gift of A. A. Trinidad Jr., 2011",,Seraing,,,Belgium,Idiophone-Struck-bell
89.4.2701,FALSE,505183,,Musical Instruments,1889,Racket (reproduction),Racket (reproduction),German,,,197374,Maker,,Karl Hermann Voigt,1850–1925,,,1850,1925,1870,1905,Ivory,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Aerophone-Reed Vibrated-double reed
89.4.1590,FALSE,502154,,Musical Instruments,1889,Mass Bell,Mass Bell,Belgian or French,,,,,,,,,,,,1801,1900,Brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Idiophone-Struck-bell-clapper
89.4.682,TRUE,501298,,Musical Instruments,1889,Contrabass Recorder in D?,Contrabass Recorder in D?,probably Belgian,,,,,,,,,,,,1801,1900,"Wood, brass","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Aerophone-Whistle Flute-recorder
89.4.1719,FALSE,502282,,Musical Instruments,1889,Mass Bell,Mass Bell,possibly Belgian (Flemish),,,,,,,,,,,,1801,1900,Metal,"The Crosby Brown Collection of Musical Instruments, 1889",,,,Flanders?,Belgium,Idiophone-Struck-bell-clapper
1976.8.34,FALSE,503729,,Musical Instruments,1976,Accordion (Flutina),Accordion (Flutina),Possibly Belgium,,,156541,Maker,,Frank Colbrun,,,,,,1850,1900,"Rosewood, poplar, mother-of-pearl, brass, paper, leather","The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,,,,Belgium,Aerophone-Free Reed-concertina / accordion
89.4.3352,TRUE,503731,,Musical Instruments,1889,Accordion,Accordion,Possibly Belgian,,,,,,,,,,,,1890,1890,"wood, mother-of-pearl, leather, paper.","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Aerophone-Free Reed-concertina / accordion
89.4.2287,FALSE,504883,,Musical Instruments,1889,Metal Tube,Metal Tube,probably Belgian,,,155975,Maker,Possibly by,Victor-Charles Mahillon,"Belgian, Brussels 1841–1924 Brussels",,Belgian,1841,1924,1875,1899,Metal,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Aerophone-Accessories
42.202,TRUE,468064,,Medieval Art,1942,Tapestry,The Garden of Love,South Netherlandish,,,,,,,,,,,,1510,1520,"Wool warp;  wool, silk, and metallic wefts","Gift of Mrs. Van Santvoord Merle-Smith, 1942",Made in,,,,Belgium,Textiles-Tapestries
1985.2,TRUE,466123,,Medieval Art,1985,Folding comb,Folding Comb,Central European,,,,,,,,,,,,1500,1500,Boxwood,"Gift of Ruth Blumka, in honor of Ashton Hawkins, 1985",Made in,,,probably Tyrol,European,Woodwork-Miscellany
1992.107,TRUE,466236,301,Medieval Art,1992,Brooch,Horse-Shaped Brooch,Celtic,,,,,,,,,,,,-650,-550,Bronze,"Gift of Ruth Blumka, in honor of Katharine R. Brown, 1992",Made in,,,,European,Metalwork-Bronze
"40.66a, b",TRUE,467691,306,Medieval Art,1940,Saddle,Saddle,Central European,,,,,,,,,,,,1400,1420,"Staghorn, limewood, rawhide, birchbark, polychromy","Harris Brisbane Dick Fund, 1940",Made in,,,perhaps  Bohemia,European,Ivories-Bone
2011.185,TRUE,479496,,Medieval Art,2011,Vessel,Vessel,Early Bronze Age,,,,,,,,,,,,-1750,-1500,Gold,"Purchase, Lila Acheson Wallace Gift and Caroline Howard Hyman Gift, in memory of Carmen Gómez-Moreno, 2011",Made in,,,,European,Metalwork-Gold
"16.154.10a, b",TRUE,463706,305,Medieval Art,1916,Statue,Enthroned Virgin and Child,Italian,,,,,,,,,,,,1330,1470,"Wooden core, painted canvas and gesso","Rogers Fund, 1916",Made in,probably Umbria,,Tuscany,Italy,Sculpture-Wood
47.100.45a–g,TRUE,468207,300,Medieval Art,1947,Doorway,"Doorway from the Church of San Nicolò, San Gemini",Central Italian,,,,,,,,,,,,1000,1299,Marble (Lunense marble from Carrara),"Fletcher Fund, 1947",Made in,San Gemini,,Umbria,Italy,Sculpture-Architectural
53.49,TRUE,468441,,Medieval Art,1953,Statue,Standing Virgin and Child,Central Italian,,,,,,,,,,,,1380,1400,"Wood, painted and gilded","Gift of Mrs. A. Stewart Walker, in memory of  A. Stewart Walker, 1953",Made in,,,Umbria,Italy,Sculpture-Wood
55.56,TRUE,468487,301,Medieval Art,1955,Brooch,Bow Brooch,Langobardic,,,,,,,,,,,,575,625,"Silver-gilt, niello","Purchase, Joseph Pulitzer Bequest, 1955",Made in,,,,Italy,Metalwork-Silver
1984.197,TRUE,469882,3,The Cloisters,1984,Relief,Relief from a Pulpit with the Symbol of Saint Luke,Italian,,,141485,Artist,,Master Christophanus or Stephanus,"Italian, active late 12th century",", and his Workshop",Italian,1171,1200,1176,1183,Limestone with lead,"The Cloisters Collection, 1984",Made in,,,Abruzzo,Italy,Sculpture-Architectural
47.101.19,TRUE,471261,3,The Cloisters,1947,Sculpture,Seated Figure (Prophet or Apostle),Italian,,,141469,Artist,Attributed to the,Master of Santa Maria la Bianca,"Italian, active late 12th–early 13th century",,Italian,,,1197,1203,Marble (Carrara marble) with lead and serpentine inlay,"The Cloisters Collection, 1947",Made in,probably Lucca,,Tuscany,Italy,Sculpture
57.63,TRUE,471825,3,The Cloisters,1957,Sculpture,Fragment of a Figure,Italian,,,,,,,,,,,,1222,1228,Marble (Carrara marble),"The Cloisters Collection, 1957",Made in,probably Lucca,,Tuscany,Italy,Sculpture
60.14,TRUE,471848,3,The Cloisters,1960,Relief,Relief with the Annunciation,Italian,,,,,,,,,,,,1177,1203,Carrara marble inlaid with serpentine (verde di Prato),"The Cloisters Collection, 1960",Made in,Florence,,,Italy,Sculpture
64.96,TRUE,471922,2,The Cloisters,1964,Font,Holy-water Font,Italian,,,141569,Artist,Follower of,Guglielmus,"Italian, active 1158–65",,Italian,1158,1165,1157,1168,Marble (Carrara marble),"The Cloisters Collection, 1964",Made in,probably Pisa,,Tuscany,Italy,Sculpture-Architectural
49.60.10,TRUE,468306,,The Cloisters,1949,Shaft,Spiral Column Shaft,Italo-Byzantine,,,,,,,,,,,,1200,1250,Marble (Proconnesian marble),"The Cloisters Collection, 1949",Made in,Rome possibly,,,Italy,Sculpture-Architectural
89.4.1027,FALSE,500848,,Musical Instruments,1889,Tambouritza,Tambouritza,Croatian,,,155463,Maker,,Tomayit Kalcic,,,,,,1801,1900,Wood,"The Crosby Brown Collection of Musical Instruments, 1889",,Zagreb,,,Croatia,Chordophone-Lute-plucked-fretted
1993.293.1,FALSE,503449,,Musical Instruments,1993,Sopila,Sopila,Croatian,,,,,,,,,,,,1933,1967,"Wood, metal","Gift of Fr. Anton Zek, 1993",,,,Island of Krk,Croatia,Aerophone-Reed Vibrated-double reed
1993.293.2,FALSE,503450,,Musical Instruments,1993,Sopila,Sopila,Croatian,,,,,,,,,,,,1933,1967,"Wood, metal","Gift of Fr. Anton Zek, 1993",,,,Island of Krk,Croatia,Aerophone-Reed Vibrated-double reed
"1976.8.35a, b",TRUE,505135,,Musical Instruments,1976,Lijerica,Lijerica,Croatia (former Yugoslavia),,,,,,,,,,,,1840,1860,wood,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Island of Hvar,,Dalmatian Coast,Croatia,Chordophone-Lute-bowed-unfretted
1976.8.1,FALSE,504280,,Musical Instruments,1976,Strancica,Strancica,Croatian,,,156081,Maker,,Filip Gereci,,,,,,1900,1976,Wood,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Laz,,Croatia,Croatia,Aerophone-Blow Hole-side-blown flute (transverse)
1976.8.7,FALSE,505112,,Musical Instruments,1976,Diple,Diple,Eastern European (Croatian),,,156082,Maker,,Stipan Lukic,,,,,,1925,1935,"Wood, lead","The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Zelovo,,"Sinj district, Dalmatia",Croatia,Aerophone-Reed Vibrated
1976.8.8,FALSE,505113,,Musical Instruments,1976,Diple,Diple,Croatian,,,157045,Maker,,Filip Domazet,,,,,,1925,1935,Woods,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Zelovo,,"Sinj district, Dalmatia",Croatia,Aerophone-Reed Vibrated
1976.8.10,FALSE,505115,,Musical Instruments,1976,Diple,Diple,Eastern European (Croatia),,,157044,Maker,,Milan Komazec Savin,"Croatian, 19th century",,,1900,2000,1937,1937,Wood,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Zegar-Obrovac-Benkovac,,"Bukovica, Dalmatia",Croatia,Aerophone-Reed Vibrated
1976.8.11,FALSE,505116,,Musical Instruments,1976,Dvojnice,Dvojnice,Eastern European (Croatian),,,156081,Maker,,Filip Gereci,,,,,,1937,1937,Wood,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Laz,,Marija Bistrica,Croatia,Aerophone-Whistle Flute-whistle flute
1976.8.12,FALSE,505117,,Musical Instruments,1976,Dvojnice,Dvojnice,Eastern European (Croatian),,,156081,Maker,,Filip Gereci,,,,,,1937,1937,Wood,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Laz - Marija Bistrica,,,Croatia,Aerophone-Whistle Flute-whistle flute
1976.8.13,FALSE,505118,,Musical Instruments,1976,Svirale (Dvojnice),Svirale (Dvojnice),Eastern European (Croatian),,,157044,Maker,,Milan Komazec Savin,"Croatian, 19th century",,,1900,2000,1937,1937,Wood,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Zegar-Obrovac-Benkovac,,Dalmatia,Croatia,Aerophone-Whistle Flute-whistle flute
1976.8.14,FALSE,505119,,Musical Instruments,1976,Sluskinja,Sluskinja,Eastern European (Croatia),,,156081,Maker,,Filip Gereci,,,,,,1937,1937,Wood,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Laz- Marija Bistrica,,,Croatia,Aerophone-Whistle Flute-whistle flute
1976.8.16,FALSE,505121,,Musical Instruments,1976,Trojnice,Trojnice,Eastern European (Croatian),,,156081,Maker,,Filip Gereci,,,,,,1937,1937,Wood,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Laz- Marija Bistrica,,,Croatia,Aerophone-Whistle Flute-whistle flute
1976.8.17,FALSE,505122,,Musical Instruments,1976,Dvojnice,Dvojnice,Eastern European (Croatian),,,156081,Maker,,Filip Gereci,,,,,,1937,1937,Wood,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Laz-Marija Bistrica,,,Croatia,Aerophone-Whistle Flute-whistle flute
1976.8.18,FALSE,505123,,Musical Instruments,1976,Svirak,Svirak,Eastern European (Croatian),,,157043,Maker,,Ante Delas,,,,,,1937,1937,maple,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Zelovo,,"Sinj district, Dalmatia",Croatia,Aerophone-Whistle Flute
1976.8.19,FALSE,505124,,Musical Instruments,1976,Bajsek,Bajsek,Eastern European (Croatian),,,156081,Maker,,Filip Gereci,,,,,,1937,1937,maple,"The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Laz-Marija Bistrica,,,Croatia,Aerophone-Whistle Flute-whistle flute
1976.8.20,FALSE,505125,,Musical Instruments,1976,Diple sa mješinom,Diple sa mješinom,Croatian,,,157043,Maker,,Ante Delas,,,,,,1935,1935,"Wood, skin","The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,,,,Croatia,Aerophone-Reed Vibrated-bagpipe
1976.8.22,FALSE,505126,,Musical Instruments,1976,Gajde,Gajde,Croatian,,,169986,Maker,,Unknown,,,,,,1880,1899,"Goatskin, wood, horn, nickel-silver","The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Stari Andrijevci,,,Croatia,Aerophone-Reed Vibrated-bagpipe
1976.8.24,FALSE,505128,,Musical Instruments,1976,Dangubica,Dangubica,Eastern European (Croatian),,,184234,Maker,,Franjo Skoliber,,,,,,1937,1937,"Wood, steel strings","The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Tugonica - Marija Bistrica,,,Croatia,Chordophone-Lute-plucked-fretted
1976.8.29,FALSE,505131,,Musical Instruments,1976,Sopila,Sopila,Eastern European (Croatian),,,,,,,,,,,,1875,1899,"Wood, metal","The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Jurandvor,,,Croatia,Aerophone-Reed Vibrated-double reed
1976.8.30,FALSE,505132,,Musical Instruments,1976,Sopila,Sopila,Eastern European (Croatian),,,,,,,,,,,,1875,1899,"Wood, metal","The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Jurandvor,,,Croatia,Aerophone-Reed Vibrated-double reed
"1976.8.33a, b",TRUE,505134,,Musical Instruments,1976,Gusle,Gusle,Eastern European (Croatia),,,,,,,,,,,,1845,1855,"Wood, skin","The Crosby Brown Collection of Musical Instruments, by exchange, 1976",,Potravlje,,Sinj-Dalmatia,Croatia,Chordophone-Lute-bowed-unfretted
Inst.1983.4.1,TRUE,504222,,Musical Instruments,,Portrait of the Father of Emilius Nicolai Scherr,Portrait of the Father of Emilius Nicolai Scherr,Danish,,,,,,,,,,,,1750,1799,Watercolor,"Gift of Mildred Pierce, 1983",,,,,Denmark,Paintings
89.4.3339,FALSE,504751,,Musical Instruments,1889,Pottery Whistle,Pottery Whistle,Danish,,,,,,,,,,,,1875,1925,terracotta,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Denmark,Aerophone-Whistle Flute-vessel flute
2000.281.1,TRUE,472836,301,Medieval Art,2000,Diadem,Diadem,Eastern European,,,,,,,,,,,,-1200,-800,Copper Alloy,"Purchase, Caroline Howard Hyman Gift, in memory of Margaret English Frazer, 2000",Made in,,,Carpathian Basin region,European,Metalwork-Copper alloy
11.76.1,TRUE,463546,307,Medieval Art,1911,Pitcher,Pitcher,European,,,,,,,,,,,,1400,1600,Glazed earthenware,"Rogers Fund, 1911",Made in,,,,European,Ceramics
50.2,TRUE,468340,301,Medieval Art,1950,Diadem,Diadem,Halstatt,,,,,,,,,,,,-750,-500,"Copper alloy
","Rogers Fund, 1950",Made in,,,Carpathian,European,Metalwork-Bronze
89.4.443,FALSE,501061,,Musical Instruments,1889,Svirajka,Svirajka,Eastern European,,,,,,,,,,,,1867,1900,Wood,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Croatia,Aerophone-Blow Hole-end-blown flute (vertical)
89.4.2857,TRUE,505378,,Musical Instruments,1889,Gusle,Gusle,Eastern European,,,,,,,,,,,,1825,1889,"Wood, goat skin","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Croatia,Chordophone-Lute-bowed-unfretted
2011.529.96,FALSE,506682,,Musical Instruments,2011,Bell,Bell,Eastern European,,,,,,,,,,,,0,0,"glass, Jasper cameo","Gift of A. A. Trinidad Jr., 2011",,,,,Croatia,Idiophone-Struck-bell
89.4.868,TRUE,501479,,Musical Instruments,1889,Kaval,Kaval,Eastern European,,,,,,,,,,,,1867,1900,Wood,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Croatia,Aerophone-Blow Hole-end-blown flute (vertical)
48.135.24,FALSE,198,,The American Wing,1948,Armchair,Armchair,French,,,,,,,,,,,,1800,1830,Mahogany,"Bequest of Adeline R. Brown, 1947",Made in,,,,France,Furniture
67.94,TRUE,385,704,The American Wing,1967,Tumbler,Tumbler,French,,,1163,Maker,,Denis Colombier,active 1776–after 1806,,,1776,1806,1789,1789,Silver,"Purchase, Mr. and Mrs. Marshall P. Blankarn Gift, 1967",Made in,Paris,,,France,Silver
41.154,TRUE,881,774,The American Wing,1941,Slop bowl,Slop Bowl,"French, possibly",,,,,,,,,,,,1777,1780,Porcelain,"Gift of Mrs. Ernest R. Adee, 1941",Possibly made in,Paris,,,France,Ceramics
24.80.522,FALSE,950,,The American Wing,1924,Box,Box with Miniature Portraits,French,,,,,,,,,,,,1820,1830,Vernis Martin on silver,"Bequest of Mary Clark Thompson, 1923",Made in,,,,France,Ceramics
6.1334,TRUE,1115,,The American Wing,1906,Locket,Cameo Locket,French,,,,,,,,,,,,1830,1870,"Sardonyx, gold","Gift of Mrs. A. B. Stone, 1906",Made in,,,,France,Jewelry
Inst.67.15.1,TRUE,2218,774,The American Wing,,Compote,Compote,French,,,,,,,,,,,,1815,1830,Porcelain,"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,Ceramics
Inst.67.15.2,TRUE,2220,774,The American Wing,,Compote,Compote,French,,,,,,,,,,,,1815,1830,Porcelain,"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,Ceramics
Inst.67.15.3,TRUE,2221,731,The American Wing,,Compote,Compote,French,,,,,,,,,,,,1815,1830,Porcelain,"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,Ceramics
"Inst.67.15.4a, b",TRUE,2386,774,The American Wing,,Dish,Covered Dish,French,,,,,,,,,,,,1815,1830,Porcelain,"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,Ceramics
"Inst.67.15.5a, b",TRUE,2387,774,The American Wing,,Dish,Covered Dish,French,,,,,,,,,,,,1815,1830,Porcelain,"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,Ceramics
"Inst.67.15.6a, b",TRUE,2448,774,The American Wing,,Bowl,Covered Bowl,French,,,,,,,,,,,,1815,1830,Porcelain,"Gift of Mrs. Alan W. Garrick, 1967",Made in,Paris,,,France,Ceramics
"Inst.67.15.7a, b",TRUE,2449,731,The American Wing,,Bowl,Covered Bowl,French,,,,,,,,,,,,1815,1830,Porcelain,"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,Ceramics
50.108,TRUE,2636,774,The American Wing,1950,Cream pitcher,Cream Pitcher,"French, possibly",,,,,,,,,,,,1777,1780,Porcelain,"Gift of Miss Louisa Verplanck Richards, 1950",Made in,,,,France,Ceramics
