Object Number,Object ID,Department,AccessionYear,Object Name,Culture,Artist Display Name,Artist Nationality,Object Begin Date,Object End Date,Credit Line,Country,Classification
13.100.48,35978,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wen Zhongyi,Chinese,1534,1566,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.49,35979,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wen Zhengming|Unidentified Artist,,1368,1644,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.54,35980,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wang Duo|Unidentified Artist,,1644,1911,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.57,35981,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Shen Hao,Chinese,1630,1650,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.58,35982,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wang Zhideng|Unidentified Artist,,1600,1644,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.60,35983,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Peng Nian|Unidentified Artist,,1500,1644,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.61,35984,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Song Maojin|Unidentified Artist,,1600,1644,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.64,35985,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wu Kuan|Unidentified Artist,Chinese,1700,1911,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.65,35986,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Cheng Jiasui,Chinese,1368,1911,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.69,35987,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Yu Dongru,Chinese,1667,1699,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.70,35988,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Li Liufang,Chinese,1613,1613,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.75,35989,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Chen Jichun,Chinese,1635,1635,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.77,35990,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wu Bin,Chinese,1603,1603,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.78,35991,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Chen Hongshou|Unidentified Artist,Chinese,1368,1911,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.79,35992,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Pan Yunyu,Chinese,1604,1604,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.82,35993,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Yuan Zhi,Chinese,1502,1547,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.83,35994,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Qi Zhijia,Chinese,1643,1643,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.84,35995,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wen Congjian,Chinese,1575,1644,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.85,35996,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Zhang Chong,Chinese,1570,1610,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.86,35997,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Li Qiao,Chinese,1368,1644,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.87,35998,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Shao Mi,Chinese,1640,1640,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.88,35999,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Yang Wencong,Chinese,1597,1644,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.89,36000,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Zhuang Jiongsheng,Chinese,1644,1676,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.91,36001,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wen Zhi,Chinese,1670,1670,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.93,36002,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wu Shantao,Chinese,1644,1690,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.94,36003,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Rüan Dacheng,Chinese,1600,1633,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.101,36004,Asian Art,1913.0,Fan mounted as an album leaf,China,Unidentified Artist,,1300,1399,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.102,36005,Asian Art,1913.0,Album leaf,China,Xia Gui,Chinese,1200,1230,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.112,36006,Asian Art,1913.0,Fan mounted as an album leaf,China,,,1200,1279,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.117,36007,Asian Art,1913.0,Fan mounted as an album leaf,China,Unidentified Artist,,1200,1233,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.123,36008,Asian Art,1913.0,Fan mounted as an album leaf,China,Unidentified Artist,,1500,1644,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.124,36009,Asian Art,1913.0,Fan mounted as an album leaf,China,Unidentified Artist,,1167,1199,"John Stewart Kennedy Fund, 1913",,Paintings
13.2,36010,Asian Art,1913.0,Hanging scroll,China,Unidentified Artist,,1500,1699,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.1,36011,Asian Art,1913.0,Handscroll,China,Xia Gui|Unidentified Artist,Chinese,1467,1499,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.8,36012,Asian Art,1913.0,Hanging scroll,China,Unidentified Artist,,1467,1533,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.15,36013,Asian Art,1913.0,Hanging scroll,China,Qiu Ying,Chinese,1495,1552,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.30,36014,Asian Art,1913.0,Hanging scroll,China,Zhao Zuo,Chinese,1630,1644,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.31,36015,Asian Art,1913.0,Hanging scroll,China,Chen Shu,Chinese,1721,1721,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.35,36016,Asian Art,1913.0,Hanging scroll,China,Yun Shouping,Chinese,1644,1690,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.36,36017,Asian Art,1913.0,Hanging scroll,China,Tang Yifen,Chinese,1845,1845,"John Stewart Kennedy Fund, 1913",,Paintings
"13.220.37a, b",36018,Asian Art,1913.0,Handscroll,China,Shitao (Zhu Ruoji),Chinese,1800,1913,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.98,36019,Asian Art,1913.0,Handscroll,China,Wen Boren,Chinese,1558,1558,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.99b,36020,Asian Art,1913.0,Album leaf,China,Ma Lin|Unidentified Artist,Chinese,1368,1911,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.104,36021,Asian Art,1913.0,Hanging scroll,China,Guanxiu,Chinese,1400,1499,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.111,36022,Asian Art,1913.0,Hanging scroll,China,Gu Yide,Chinese,1368,1644,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.115,36023,Asian Art,1913.0,Hanging scroll,China,Zhang Lu,Chinese,1490,1563,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.116,36024,Asian Art,1913.0,Hanging scroll,China,Ju Jie,Chinese,1368,1644,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.117,36025,Asian Art,1913.0,Hanging scroll,China,Wu Li,Chinese,1703,1703,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.118,36026,Asian Art,1913.0,Hanging scroll,China,Wang Wenzhi,Chinese,1644,1911,"John Stewart Kennedy Fund, 1913",,Paintings
13.220.123,36027,Asian Art,1913.0,Hanging scroll,China,Zhang Geng,Chinese,1759,1759,"John Stewart Kennedy Fund, 1913",,Paintings
14.76.4,36028,Asian Art,1914.0,Hanging scroll,China,Unidentified,,1500,1699,"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",,Paintings
16.151,36030,Asian Art,1916.0,Hanging scroll,China,Shen Shuo,Chinese,1544,1644,"Gift of John C. Ferguson, 1916",,Paintings
18.43.2,36031,Asian Art,1918.0,Casting model,North China,,,-200,-1,"Rogers Fund, 1918",,Ceramics
18.124.2,36032,Asian Art,1918.0,Handscroll,China,Unidentified Artist|Li Gonglin,Chinese,1368,1644,"Rogers Fund, 1918",,Paintings
18.124.4,36033,Asian Art,1918.0,Handscroll,China,Unidentified Artist|Jiangcan,Chinese,1200,1299,"Rogers Fund, 1918",,Paintings
18.124.12,36034,Asian Art,1918.0,Painting,China,Unidentified Artist,,1567,1633,"Rogers Fund, 1918",,Paintings
19.165,36035,Asian Art,1919.0,Handscroll,China,Wen Tong,Chinese,1500,1599,"Rogers Fund, 1919",,Paintings
22.92,36036,Asian Art,1922.0,Hanging scroll,China,Jiang Tingxi,Chinese,1724,1724,"Gift of Mrs. Anna Woerishoffer, 1922",,Paintings
23.33.5,36037,Asian Art,1923.0,Album leaf,China,Ma Yuan,Chinese,1200,1233,"Rogers Fund, 1923",,Paintings
29.19,36038,Asian Art,1929.0,Portable shrine,"China (Xinjiang Autonomous Region, Turfan area)",,,400,599,"Fletcher Fund, 1929",,Sculpture
29.20.2,36039,Asian Art,1929.0,Album leaf,China,Unidentified Artist,,1400,1433,"Gift of George D. Pratt, 1929",,Paintings
29.100.476,36041,Asian Art,1929.0,Hanging scroll,China,Li Gonglin|Unidentified Artist,Chinese,1300,1368,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,Paintings
29.100.531,36042,Asian Art,1929.0,Handscroll,China,Unidentified Artist,,1300,1368,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,Paintings
32.100.455,36044,Asian Art,1932.0,Figure,China,,,1700,1799,"The Friedsam Collection, Bequest of Michael Friedsam, 1931",,Jade
34.117.4,36045,Asian Art,1934.0,Hanging scroll,China,Jiang Baohua,Chinese,1867,1934,"Gift of Ellen Barker, 1934",,Paintings
42.25.28,36046,Asian Art,1942.0,Figure,China,,,1100,1199,"Gift of Abby Aldrich Rockefeller, 1942",,Sculpture
42.74.1a–h,36047,Asian Art,1942.0,Album,China,Zhang Zongcang,Chinese,1741,1764,"Fletcher Fund, 1942",,Paintings
47.18.1,36048,Asian Art,1947.0,Handscroll,China,Unidentified Artist,,1700,1799,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.3,36049,Asian Art,1947.0,Handscroll,China,Unidentified Artist|Guo Xi,Chinese,1600,1699,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.19,36050,Asian Art,1947.0,Hanging scroll,China,Lin Liang,Chinese,1416,1644,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.22,36051,Asian Art,1947.0,Hanging scroll,China,Ma Shida,Chinese,1400,1499,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.30,36052,Asian Art,1947.0,Fan mounted as an album leaf,China,Ma Yuan|Unidentified,Chinese,1200,1225,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.43a,36053,Asian Art,1947.0,Fan mounted as an album leaf,China,Unidentified Artist|Wang Shen,Chinese,1271,1644,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.55,36054,Asian Art,1947.0,Hanging scroll,China,Unidentified Artist,,1500,1599,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.63,36055,Asian Art,1947.0,Album leaf,China,Ma Lin,Chinese,1226,1250,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.83,36056,Asian Art,1947.0,Fan mounted as an album leaf,China,Unidentified Artist,,1271,1299,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947
",,Paintings
47.18.103,36057,Asian Art,1947.0,Hanging scroll,China,Unidentified Artist,,1345,1345,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.111,36058,Asian Art,1947.0,Hanging scroll,China,Zhou Zonglian,Chinese,1532,1592,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.116,36059,Asian Art,1947.0,Handscroll,China,Ma Quan,Chinese,1700,1749,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.121,36060,Asian Art,1947.0,Handscroll,China,Unidentified Artist,,1800,1947,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.128,36061,Asian Art,1947.0,Hanging scroll,China,Unidentified Artist|Xia Gui,Chinese,1467,1533,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.129,36062,Asian Art,1947.0,Handscroll,China,Tang Yin,Chinese,1470,1524,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.133,36063,Asian Art,1947.0,Album leaf,China,Unidentified Artist,,1200,1299,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.136,36064,Asian Art,1947.0,Fan mounted as an album leaf,China,Unidentified Artist,,1200,1279,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.18.147,36065,Asian Art,1947.0,Album leaf,China,Unidentified Artist,,1300,1435,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,Paintings
47.81.1,36066,Asian Art,1947.0,Album,China,Unidentified Artist|Yao Wenhan,Chinese,1900,1933,"Gift of Mrs. Edward S. Harkness, 1947",,Paintings
52.177.20,36067,Asian Art,1952.0,Hanging scroll,China,Xie Shichen,Chinese,1548,1548,"Bequest of Katherine S. Dreier, 1952",,Paintings
53.103,36068,Asian Art,1953.0,Hanging scroll,China,Unidentified Artist,,1400,1499,"Gift of A. W. Bahr, 1953",,Paintings
53.130.1,36069,Asian Art,1953.0,Hanging scroll,China,Unidentified Artist,,1667,1733,"Gift of the Estate of Lillian Genth, 1953",,Paintings
55.211.1,36070,Asian Art,1955.0,Handscroll,China,Dong Qichang,Chinese,1350,1650,"Gift of Wan-go H. C. Weng, 1955",,Paintings
55.211.2,36071,Asian Art,1955.0,Hanging scroll,China,Wang Hui,Chinese,1600,1900,"Gift of Wan-go H. C. Weng, 1955",,Paintings
55.212,36072,Asian Art,1955.0,Handscroll,China,Cheng Zhengkui,Chinese,1600,1750,"Gift of Harry Lenart, 1955",,Paintings
56.129.1,36073,Asian Art,1956.0,Hanging scroll,China,Xu Beihong,Chinese,1941,1941,"Rogers Fund, 1956",,Paintings
56.129.3,36075,Asian Art,1956.0,Hanging scroll,China,Zhu Ling,Chinese,1820,1850,"Rogers Fund, 1956",,Paintings
56.129.4,36076,Asian Art,1956.0,Hanging scroll,China,Zhang Daqian|Zhang Daqian,,1947,1947,"Rogers Fund, 1956",,Paintings
57.174.2,36079,Asian Art,1957.0,Hanging scroll,China,Unidentified Artist,,1400,1599,"Gift of Edgar Worch, 1957",,Paintings
58.148.1,36080,Asian Art,1958.0,Hanging scroll,China,Zhu Duan,Chinese,1518,1518,"Gift of Alan Priest, 1958",,Paintings
59.49.1,36081,Asian Art,1959.0,Hanging scroll,China,Ruan Zude,Chinese,1561,1621,"Seymour Fund, 1959",,Paintings
59.49.2,36082,Asian Art,1959.0,Hanging scroll,China,Ruan Zude,Chinese,1561,1621,"Seymour Fund, 1959",,Paintings
59.81,36083,Asian Art,1959.0,Album,China or Japan,Chen Xian,,1634,1634,"Gift of Mrs. Eugene Vidal, 1959",,Paintings
59.117,36084,Asian Art,1959.0,Hanging scroll,China,Liu Shiru,Chinese,1550,1599,"Gift of Alan Priest, 1959",,Paintings
61.237,36085,Asian Art,1961.0,Statue,China,,,1000,1199,"Gift of D. Herbert Beskind, 1961",,Sculpture
62.97.22,36086,Asian Art,1962.0,Fan,China,,,1800,1899,"Gift of Edna Bahr, 1962",,Fans
"62.97.23a, b",36087,Asian Art,1962.0,Fan,China,,,1800,1899,"Gift of Edna Bahr, 1962",,Fans
63.24,36088,Asian Art,1963.0,Hanging scroll,China,Qi Zhijia,Chinese,1651,1651,"Gift of Dr. Frederick Baekeland, 1963",,Paintings
64.268.1,36089,Asian Art,1964.0,Album leaf,China,Xiang Shengmo,Chinese,1654,1654,"Seymour Fund, 1964",,Paintings
64.268.2,36090,Asian Art,1964.0,Album leaf,China,Ye Xin,Chinese,1654,1655,"Seymour Fund, 1964",,Paintings
64.268.3,36091,Asian Art,1964.0,Album leaf,China,Shi Lin,Chinese,1654,1655,"Seymour Fund, 1964",,Paintings
66.147.1,36092,Asian Art,1966.0,Handscroll,China,,,1761,1761,"Gift of Dr. Hans Smetana, 1966",,Paintings
67.6.1,36093,Asian Art,1967.0,Hanging scroll,China,Tang Yin,Chinese,1470,1524,"Purchase, Bequest of Dorothy Graham Bennett, 1967",,Paintings
67.6.2,36094,Asian Art,1967.0,Handscroll,China,Zhang Hong,Chinese,1639,1639,"Purchase, Bequest of Dorothy Graham Bennett, 1967",,Paintings
68.195,36095,Asian Art,1968.0,Handscroll,China,Wei Zhike,Chinese,1635,1635,"Gift of J. T. Tai, 1968",,Paintings
68.212.2,36096,Asian Art,1968.0,Hanging scroll,China,Zheng Xie,Chinese,1693,1911,"The C. C. Wang Family Collection, Gift of C. C. Wang, 1968",,Paintings
1972.163,36098,Asian Art,1972.0,Hanging scroll,China,Chen Hongshou,Chinese,1912,1971,"Gift of Zhang Daqian, 1972",,Paintings
1972.278.2,36099,Asian Art,1972.0,Hanging scroll,China,Chen Hongshou,Chinese,1350,1750,"Gift of Mr. and Mrs. Earl Morse, 1972",,Paintings
1972.278.4,36100,Asian Art,1972.0,Hanging scroll,China,Wang Jian,Chinese,1657,1657,"Gift of Mr. and Mrs. Earl Morse, 1972",,Paintings
1972.278.7,36101,Asian Art,1972.0,Hanging scroll,China,Yang Jin,,1726,1726,"Gift of Mr. and Mrs. Earl Morse, 1972",,Paintings
1972.278.8,36102,Asian Art,1972.0,Hanging scroll,China,Fang Shishu,Chinese,1692,1751,"Gift of Mr. and Mrs. Earl Morse, 1972",,Paintings
1972.278.9a–t,36103,Asian Art,1972.0,Album,China,Wen Zhengming,Chinese,1470,1559,"Gift of Mr. and Mrs. Earl Morse, 1972",,Paintings
1975.268.81,36105,Asian Art,1975.0,Hanging scroll,China,Shen Quan,Chinese,1700,1733,"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,Paintings
1975.268.82,36106,Asian Art,1975.0,Hanging scroll,China,Shen Quan,Chinese,1750,1750,"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,Paintings
1976.2,36119,Asian Art,1976.0,Framed hanging scroll,China,Unidentified Artist,,1600,1699,"Bequest of Josephine B. Crane, 1976",,Paintings
1976.191,36120,Asian Art,1976.0,Hanging scroll,China,Chen Zi,Chinese,1644,1711,"Purchase, The Dillon Fund Gift, 1976",,Paintings
"1976.384.2a, b",36122,Asian Art,1976.0,Hanging scrolls,China,Weng Tonghe,Chinese,1830,1904,"Seymour Fund, 1976",,Calligraphy
1978.5,36123,Asian Art,1978.0,Handscroll,China,Zhang Bi,Chinese,1478,1478,"Purchase, Bequest of Dorothy Graham Bennett, 1978",,Paintings
"1978.23a, b",36124,Asian Art,1978.0,Hanging scrolls,China,Liang Tongshu,Chinese,1723,1799,"Gift of Chan-hua Mao, 1978",,Calligraphy
1978.255,36127,Asian Art,1978.0,Hanging scroll,China,Qi Baishi,Chinese,1920,1940,"Gift of Mr. and Mrs. David M. Levitt, by exchange, 1978",,Paintings
1978.256,36128,Asian Art,1978.0,Hanging scroll,China,Qi Baishi,Chinese,1864,1957,"Gift of Mr. and Mrs. David M. Levitt, by exchange, 1978",,Paintings
1979.500.1,36129,Asian Art,1979.0,Album,China,Wang Jian,Chinese,1674,1676,"Gift of Douglas Dillon, 1979",,Paintings
1980.426.1a–l,36130,Asian Art,1980.0,Album,China,Gong Xian,Chinese,1675,1695,"Gift of Douglas Dillon, 1980",,Paintings
1981.4.1a–o,36131,Asian Art,1981.0,Album,China,Gong Xian,Chinese,1688,1688,"Gift of Douglas Dillon, 1981",,Paintings
1980.531,36132,Asian Art,1980.0,Hand scroll,China,Liu Yong,Chinese,1803,1803,"Gift of Dr. and Mrs. George Fan, 1980",,Calligraphy
1981.122,36133,Asian Art,1981.0,Hanging scroll,China,Li Yin,Chinese,1700,1700,"Anonymous Gift, in memory of Maitland F. Griggs, 1981",,Paintings
1981.285.5,36134,Asian Art,1981.0,Folding fan mounted as an album leaf,China,Mei Qing,Chinese,1623,1697,"Edward Elliott Family Collection, Purchase, The Dillon Fund Gift, 1981",,Paintings
1981.285.9,36135,Asian Art,1981.0,Hanging scroll,China,Wen Jia,Chinese,1578,1578,"Edward Elliott Family Collection, Purchase, The Dillon Fund Gift, 1981",,Paintings
1981.285.11,36136,Asian Art,1981.0,Hanging scroll,China,Zhang You,Chinese,1434,1466,"Edward Elliott Family Collection, Purchase, The Dillon Fund Gift, 1981",,Paintings
1982.1.4,36137,Asian Art,1982.0,Album leaf,China,Unidentified Artist,,1200,1279,"Edward Elliott Family Collection, Purchase, The Dillon Fund Gift, 1982",,Paintings
"1982.1.9a, b",36138,Asian Art,1982.0,Hanging scroll,China,Xie Shichen,Chinese,1487,1567,"Edward Elliott Family Collection, Purchase, The Dillon Fund Gift, 1982",,Paintings
1982.1.10,36139,Asian Art,1982.0,Hanging scroll,China,Gao Xiang,Chinese,1700,1730,"Edward Elliott Family Collection, Purchase, The Dillon Fund Gift, 1982",,Paintings
1982.3.3,36140,Asian Art,1982.0,Hanging scroll,China,Unidentified,,1367,1399,"Edward Elliott Family Collection, Purchase, The Dillon Fund Gift, 1982",,Paintings
1982.7.3,36141,Asian Art,1982.0,Fan mounted as an album leaf,China,Xia Gui,Chinese,1200,1233,"Purchase, The Dillon Fund Gift, 1982",,Paintings
1984.496.1–.32,36142,Asian Art,1984.0,Calligraphy,China,Various Artists,,1750,1795,"Gift of Marie-Hélène and Guy Weill, 1984",,Rubbing
1985.131.1a–f,36144,Asian Art,1985.0,Album,China,Ren Yi (Ren Bonian),Chinese,1800,1899,"Bequest of Louisa L. McNeary, 1985",,Paintings
1986.22,36145,Asian Art,1986.0,Handscroll,China,Yan Zhenqing|Wang Shu,Chinese|Chinese,1729,1729,"Purchase, Bequest of Dorothy Graham Bennett, 1986",,Calligraphy
1986.267.3,36146,Asian Art,1986.0,Hanging scroll,China,Wang Gong|Unidentified Artist,Chinese,1800,1899,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
1986.267.4,36147,Asian Art,1986.0,Hanging scroll,China,Gai Qi,Chinese,1774,1829,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
1986.267.5,36148,Asian Art,1986.0,Hanging scroll,China,Xie Lansheng,Chinese,1815,1815,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
1986.267.6,36149,Asian Art,1986.0,Hanging scroll,China,Pan Simu,Chinese,1841,1841,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
1986.267.10,36150,Asian Art,1986.0,Hanging scroll,China,Huang Jun,Chinese,1846,1846,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
1986.267.11,36151,Asian Art,1986.0,Hanging scroll,China,Tang Yifen,Chinese,1778,1853,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
1986.267.13,36152,Asian Art,1986.0,Hanging scroll,China,Li Xiuyi,Chinese,1843,1843,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
1986.267.14a–d,36153,Asian Art,1986.0,Hanging scrolls,China,Dai Xi,Chinese,1834,1866,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
1986.267.15,36154,Asian Art,1986.0,Folding fan mounted as an album leaf,China,Wang Tingru,Chinese,1804,1852,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
1986.267.16,36155,Asian Art,1986.0,Album leaf,China,Cheng Tinglu,Chinese,1827,1827,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",,Paintings
